holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg,neighborhood_area,region_area
C252,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,2514646.567898381
C253,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,1671663.0619333845
C254,C,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,2838138.357359418
D106,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,529987.0650178096
D107,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,853726.928744229
D91,D,BEVERLY,72,20034,21992,-1958,-8.903237,0,1,14812533.152210953,622679.5772229043
B107,B,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,943154.7308891036
C213,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,983399.0106556081
C214,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,807240.2720030819
C215,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,3944829.7139932294
C216,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,459266.2704708067
C218,C,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,290489.45577239094
D77,D,HYDE PARK,41,25681,29920,-4239,-14.167781,0,1,7544394.2460133275,76097.82112795638
B107,B,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,943154.7308891036
C212,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,641269.395168932
C213,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,983399.0106556081
C214,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,807240.2720030819
C215,C,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,3944829.7139932294
D76,D,KENWOOD,39,17841,18363,-522,-2.842673,0,1,4864822.216565201,2073115.0343840364
B108,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,715916.6892655239
B109,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,520004.83009814407
B110,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1140306.6699213253
B111,B,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,1581035.5108252573
C238,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1,13670285.242615387,3153520.7036485747
