station,loc
Fort Sheridan,POINT (-87.80999751046998 42.20241965052138)
Palatine,POINT (-88.13210583088286 42.15289697854315)
Barrington,POINT (-88.04992884306584 42.11360925991105)
Cary,POINT (-88.31144690193213 42.24122350800468)
Crystal Lake Junction,POINT (-88.24141193029442 42.209163635526245)
Fox River Grove,POINT (-88.24141193029442 42.209163635526245)
Cary,POINT (-88.21886340684195 42.19751888851626)
Fort Sheridan,POINT (-87.83971489335646 42.25235867906735)
Lake Forest,POINT (-87.82114772610907 42.21741989856786)
Lake Forest,POINT (-87.84676313482669 42.279588742081955)
Lake Bluff,POINT (-87.83971489335646 42.25235867906735)
North Chicago,POINT (-87.82795249793702 42.36063605518417)
Waukegan,POINT (-87.83704321591497 42.3289238176582)
Lake Forest,POINT (-87.95644511360378 42.29108324518938)
Libertyville,POINT (-87.87462405299509 42.22352861710213)
Grayslake,POINT (-88.0939289068378 42.35456391239922)
Round Lake,POINT (-88.04332447932092 42.33354147995653)
Round Lake,POINT (-88.12805051705648 42.3678965751628)
Long Lake,POINT (-88.0939289068378 42.35456391239922)
Crystal Lake,POINT (-88.4472813993153 42.31683655914711)
Woodstock,POINT (-88.31706096247487 42.24415000047859)
Zion,POINT (-87.81625575267394 42.482618854450344)
Winthrop Harbor,POINT (-87.81812858815344 42.449513168487314)
Waukegan,POINT (-87.81812858815344 42.449513168487314)
Zion,POINT (-87.82795249793702 42.36063605518417)
Ingleside,POINT (-88.18207173931474 42.398302195021635)
Fox Lake,POINT (-88.15498055732948 42.384144145677375)
Long Lake,POINT (-88.15498055732948 42.384144145677375)
Ingleside,POINT (-88.12805051705648 42.3678965751628)
Woodstock,POINT (-88.6171196521762 42.41935114139752)
Harvard,POINT (-88.4472813993153 42.31683655914711)
Libertyville,POINT (-88.04332447932092 42.33354147995653)
Grayslake,POINT (-87.95644511360378 42.29108324518938)
Crystal Lake Junction,POINT (-88.31706096247487 42.24415000047859)
Crystal Lake,POINT (-88.31144690193213 42.24122350800468)
95th St.,POINT (-87.6036753195489 41.72141741788474)
103rd St.,POINT (-87.60700670050655 41.70696703982585)
107th St.,POINT (-87.60865830082524 41.69983980729054)
111th St.,POINT (-87.6102146353689 41.69309708154361)
Barrington,POINT (-88.21886340684195 42.19751888851626)
Fox River Grove,POINT (-88.13210583088286 42.15289697854315)
New Lenox,POINT (-88.07930080661004 41.52417973186701)
Joliet,POINT (-87.96523015675663 41.51456087015662)
New Lenox,POINT (-87.96523015675663 41.51456087015662)
Joliet,POINT (-88.07930080661004 41.52417973186701)
Geneva,POINT (-88.31020828939712 41.881501400093825)
Blue Island,POINT (-87.67612597827248 41.65569614586508)
National St.,POINT (-88.28616792236674 42.036256068397876)
Elgin,POINT (-88.27996814671843 42.02913255797078)
Bartlett,POINT (-88.27996814671843 42.02913255797078)
National St.,POINT (-88.18628250533123 41.99257521760923)
Great Lakes,POINT (-87.83704321591497 42.3289238176582)
North Chicago,POINT (-87.84663465115314 42.30834295790128)
Lake Bluff,POINT (-87.84663465115314 42.30834295790128)
Great Lakes,POINT (-87.84676313482669 42.279588742081955)
Ravinia Park,POINT (-87.78322754777946 42.16538000650755)
Ravinia,POINT (-87.77669447767242 42.157609835778935)
Braeside,POINT (-87.77669447767242 42.157609835778935)
Ravinia Park,POINT (-87.77282854559654 42.15298637984123)
Deerfield,POINT (-87.87462405299509 42.22352861710213)
Lake Forest,POINT (-87.84989620941528 42.168127730828594)
179th St.,POINT (-87.9028203838136 41.5636634937275)
Lake Villa,POINT (-88.09217255076558 42.480720800202675)
Antioch,POINT (-88.07929200010932 42.417586659733765)
Wheeling,POINT (-87.94112819259409 42.168477126311636)
Buffalo Grove,POINT (-87.92715853426556 42.13644688506416)
Buffalo Grove,POINT (-87.9555786793249 42.197975562192056)
Prairie View,POINT (-87.94112819259409 42.168477126311636)
Prairie View,POINT (-87.96482328537019 42.215571378849326)
Vernon Hills,POINT (-87.9555786793249 42.197975562192056)
Mundelein,POINT (-88.01773293733342 42.318546717835154)
Prairie Crossing,POINT (-87.99769591008302 42.26670737010856)
Round Lake Beach,POINT (-88.07929200010932 42.417586659733765)
Lake Villa,POINT (-88.06516710874637 42.38475258456347)
Prairie Crossing,POINT (-88.06516710874637 42.38475258456347)
Round Lake Beach,POINT (-88.01773293733342 42.318546717835154)
Lake Cook,POINT (-87.84989620941528 42.168127730828594)
Deerfield,POINT (-87.84099079049507 42.15164851088396)
Northbrook,POINT (-87.84099079049507 42.15164851088396)
Lake Cook,POINT (-87.82813748667259 42.12762956992147)
Vernon Hills,POINT (-87.99769591008302 42.26670737010856)
Mundelein,POINT (-87.96482328537019 42.215571378849326)
Winthrop Harbor,POINT (-87.8209220264708 42.58728239190091)
Kenosha,POINT (-87.81625575267394 42.482618854450344)
Kensington,POINT (-87.61183360328653 41.68603009241747)
Kensington Junction,POINT (-87.61231029172376 41.683936056285184)
115th St.,POINT (-87.67145693816737 41.68499303477348)
111th St.,POINT (-87.67049482068957 41.69276241303946)
107th St.,POINT (-87.66975459123944 41.69891790553459)
103rd St.,POINT (-87.66890481397424 41.70621628718249)
99th St.,POINT (-87.66728697882489 41.71363454923137)
95th St.,POINT (-87.6675476971059 41.72153633244478)
95th St.,POINT (-87.66728697882489 41.71363454923137)
Longwood,POINT (-87.65055511406014 41.72070943105646)
Washington Heights,POINT (-87.65610720572927 41.70558300039023)
Worth,POINT (-87.79568873351506 41.691653608207886)
