src_station,dest_stations
Montrose-O'Hare,Jefferson Park
Halsted/63rd,59th Junction
59th Junction,Halsted/63rd
43rd,Indiana
Indiana,43rd
O'Hare Airport,Subway Portal A
Subway Portal A,O'Hare Airport
Subway Portal A,Rosemont
Rosemont,Subway Portal A
Western-Douglas,Damen
Damen,Western-Douglas
Oak Park-Congress,Austin-Congress
Austin-Congress,Oak Park-Congress
Western-Congress,Illinois Medical District
Illinois Medical District,Western-Congress
Jackson/Dearborn,Monroe/Dearborn
Monroe/Dearborn,Jackson/Dearborn
Harlem-Congress,Oak Park-Congress
Oak Park-Congress,Harlem-Congress
Washington/Dearborn,Monroe/Dearborn
Monroe/Dearborn,Washington/Dearborn
Clark/Lake,Washington/Dearborn
Washington/Dearborn,Clark/Lake
Jackson/State,Harrison
Harrison,Jackson/State
Cicero-Congress,Pulaski-Congress
Pulaski-Congress,Cicero-Congress
Loomis Junction,Racine
Racine,Loomis Junction
Addison-O'Hare,Belmont-O'Hare
Belmont-O'Hare,Addison-O'Hare
79th,69th
69th,79th
Chicago/Milwaukee,Grand/Milwaukee
Grand/Milwaukee,Chicago/Milwaukee
Western/Milwaukee,Damen/Milwaukee
Damen/Milwaukee,Western/Milwaukee
63rd-Dan Ryan,Garfield-Dan Ryan
Garfield-Dan Ryan,63rd-Dan Ryan
Roosevelt/State,Harrison
Harrison,Roosevelt/State
Racine,UIC-Halsted
UIC-Halsted,Racine
Clinton-Congress,LaSalle
LaSalle,Clinton-Congress
Addison-North Main,Clark Junction
Clark Junction,Addison-North Main
Belmont-North Main,Wellington
Wellington,Belmont-North Main
Fullerton,Armitage
Armitage,Fullerton
Thorndale,Bryn Mawr
Bryn Mawr,Thorndale
Armitage,Subway Portal B
Subway Portal B,Armitage
Clark/Division,Chicago/State
Chicago/State,Clark/Division
Grand/State,Lake/State
Lake/State,Grand/State
Davis,Dempster
Dempster,Davis
Linden,Central-Evanston
Central-Evanston,Linden
Tower 18,Clark/Lake
