src_station,dest_stations
Round Lake Beach,Prairie Crossing
Lake Cook,Deerfield
Deerfield,Lake Cook
Northbrook,Lake Cook
Lake Cook,Northbrook
Vernon Hills,Mundelein
Mundelein,Vernon Hills
Winthrop Harbor,Kenosha
Kenosha,Winthrop Harbor
111th St.,Kensington
Kensington,111th St.
Kensington,Kensington Junction
Kensington Junction,Kensington
Kensington Junction,Hegewisch
Hegewisch,Kensington Junction
115th St.,119th St.
119th St.,115th St.
111th St.,115th St.
115th St.,111th St.
107th St.,111th St.
111th St.,107th St.
103rd St.,107th St.
107th St.,103rd St.
99th St.,103rd St.
103rd St.,99th St.
95th St.,95th St.
95th St.,95th St.
Longwood,Washington Heights
Washington Heights,Longwood
Worth,Palos Park
Palos Park,Worth
Oak Lawn,Chicago Ridge
Chicago Ridge,Oak Lawn
Chicago Ridge,Worth
Worth,Chicago Ridge
Willow Springs,Lemont
Lemont,Willow Springs
Grayland,Mayfair
Mayfair,Grayland
Healy,Grayland
Grayland,Healy
Pacific Junction,Healty
Healty,Pacific Junction
Clybourn,Ravenswood
Ravenswood,Clybourn
Hanson Park,Galewood
Galewood,Hanson Park
Mars,Mont Clare
Mont Clare,Mars
Mont Clare,Elmwood Park
Elmwood Park,Mont Clare
Jefferson Park,Gladstone Park
Gladstone Park,Jefferson Park
Ravenswood,Rogers Park
Rogers Park,Ravenswood
Davis St.,Central St.
Central St.,Davis St.
Edison Park,Park Ridge
Park Ridge,Edison Park
Kensington Junction,120th St. Junction
120th St. Junction,Kensington Junction
Washington Heights,Blue Island Vermont St.
Blue Island Vermont St.,Washington Heights
Deval,Prospect Heights
Prospect Heights,Deval
College Ave.,Wheaton
Wheaton,College Ave.
Pacific Junction,Hermosa
Hermosa,Pacific Junction
Hermosa,Cragin
Cragin,Hermosa
Cragin,Hanson Park
Hanson Park,Cragin
Galewood,Mars
Mars,Galewood
Gladstone Park,Norwood Park
Norwood Park,Gladstone Park
Forest Glen,Edgebrook
Edgebrook,Forest Glen
Bensenville,Wood Dale
Wood Dale,Bensenville
Mannheim,Bensenville
Bensenville,Mannheim
Berkeley,Elmhurst
Elmhurst,Berkeley
Lombard,Glen Ellyn
Glen Ellyn,Lombard
Medinah,Roselle
Roselle,Medinah
Roselle,Schaumburg
Schaumburg,Roselle
Wilmette,Kenilworth
Kenilworth,Wilmette
Indian Hill,Winnetka
Winnetka,Indian Hill
Central St.,Wilmette
Wilmette,Central St.
Park Ridge,Dee Road
Dee Road,Park Ridge
Edgebrook,Morton Grove
Morton Grove,Edgebrook
Morton Grove,Golf
Golf,Morton Grove
Golf,Glenview
Glenview,Golf
Arlington Heights,Arlington Park
Arlington Park,Arlington Heights
Arlington Park,Palatine
Palatine,Arlington Park
