station,loc,x,y
Lawrence,POINT (-87.65849296166755 41.96913893979154),-87.65849296166755,41.96913893979154
Wilson,POINT (-87.65773436747683 41.964254693034945),-87.65773436747683,41.964254693034945
Sheridan,POINT (-87.65492939123314 41.95377494669898),-87.65492939123314,41.95377494669898
Addison-North Main,POINT (-87.65362593059652 41.947427996132575),-87.65362593059652,41.947427996132575
Clark Junction,POINT (-87.65345391819896 41.94217681368226),-87.65345391819896,41.94217681368226
Belmont-North Main,POINT (-87.6533804888533 41.9397507455413),-87.6533804888533,41.9397507455413
Diversey,POINT (-87.65313085758987 41.93273150013164),-87.65313085758987,41.93273150013164
Fullerton,POINT (-87.65286583684723 41.92505136715719),-87.65286583684723,41.92505136715719
Jarvis,POINT (-87.66909211178537 42.01587617947503),-87.66909211178537,42.01587617947503
Loyola,POINT (-87.66106070103606 42.001073359553416),-87.66106070103606,42.001073359553416
Granville,POINT (-87.6592022780805 41.993664260639825),-87.6592022780805,41.993664260639825
Bryn Mawr,POINT (-87.65884028479888 41.98350422441491),-87.65884028479888,41.98350422441491
Berwyn,POINT (-87.6586684193605 41.977983991383624),-87.6586684193605,41.977983991383624
Chicago/State,POINT (-87.62817635289473 41.89667121274742),-87.62817635289473,41.89667121274742
Grand/State,POINT (-87.62802125811783 41.891665201240016),-87.62802125811783,41.891665201240016
North/Clybourn,POINT (-87.64917726619929 41.91065457929867),-87.64917726619929,41.91065457929867
Clark/Division,POINT (-87.63141229239777 41.903920312537934),-87.63141229239777,41.903920312537934
Morse,POINT (-87.66590908883936 42.008361817969394),-87.66590908883936,42.008361817969394
Thorndale,POINT (-87.65907585894789 41.990259493587956),-87.65907585894789,41.990259493587956
Argyle,POINT (-87.65852996249585 41.97345332262187),-87.65852996249585,41.97345332262187
Wellington,POINT (-87.65326644967774 41.9360326033312),-87.65326644967774,41.9360326033312
Noyes,POINT (-87.68333687965476 42.05828247042432),-87.68333687965476,42.05828247042432
Foster,POINT (-87.68356032667145 42.05416022417656),-87.68356032667145,42.05416022417656
Dempster,POINT (-87.68160198710628 42.04165464343659),-87.68160198710628,42.04165464343659
Main,POINT (-87.67953792280377 42.03345571106645),-87.67953792280377,42.03345571106645
South Blvd.,POINT (-87.67832941577225 42.02761184848048),-87.67832941577225,42.02761184848048
Kedzie-Midway,POINT (-87.70432066556059 41.80434840898862),-87.70432066556059,41.80434840898862
Western-Midway,POINT (-87.68406498717205 41.80468355990549),-87.68406498717205,41.80468355990549
35th/Archer,POINT (-87.68058736834466 41.82956008816729),-87.68058736834466,41.82956008816729
Ashland-Midway,POINT (-87.66531166408123 41.839355878963985),-87.66531166408123,41.839355878963985
Ashland-Lake,POINT (-87.65201873910273 41.885578631542884),-87.65201873910273,41.885578631542884
Morgan,POINT (-87.66695093714925 41.88531139553528),-87.66695093714925,41.88531139553528
Roosevelt/Wabash,POINT (-87.62603003565505 41.87670362155761),-87.62603003565505,41.87670362155761
California-Lake,POINT (-87.66942867040227 41.88524264248605),-87.66942867040227,41.88524264248605
Paulina Junction,POINT (-87.69623421529529 41.88421953227085),-87.69623421529529,41.88421953227085
Clinton-Lake,POINT (-87.63391317485689 41.885724525920224),-87.63391317485689,41.885724525920224
Tower 18,POINT (-87.64177130461245 41.885703424005946),-87.64177130461245,41.885703424005946
18th,POINT (-87.6695432279072 41.871563004331605),-87.6695432279072,41.871563004331605
Polk,POINT (-87.66916012510731 41.85790770848294),-87.66916012510731,41.85790770848294
California-Douglas,POINT (-87.68517922117049 41.85439683734934),-87.68517922117049,41.85439683734934
