holc_id,holc_grade,community,NID,POP2010,POP2000,POPCH,POPPERCH,popplus,popneg
C244,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
C245,C,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
D89,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
D90,D,SOUTH SHORE,43,49767,61556,-11789,-19.151667,0,1
B108,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
B121,B,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C219,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C232,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C236,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C237,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
C238,C,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D72,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D73,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D74,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D75,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D78,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D79,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D83,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D87,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
D89,D,GREATER GRAND CROSSING,69,32602,38619,-6017,-15.580414,0,1
B108,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
B109,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
B110,B,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C216,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C217,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C218,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C219,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
C220,C,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
D75,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
D78,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
D79,D,WOODLAWN,42,25983,27086,-1103,-4.072214,0,1
B112,B,ASHBURN,70,41081,39584,1497,3.781831,1,0
D84,D,ASHBURN,70,41081,39584,1497,3.781831,1,0
D85,D,ASHBURN,70,41081,39584,1497,3.781831,1,0
D91,D,ASHBURN,70,41081,39584,1497,3.781831,1,0
B113,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
B114,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
B115,B,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C225,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C226,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C227,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C228,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C229,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C230,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C231,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C233,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C234,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
C235,C,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D84,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D87,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D88,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D91,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D92,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
D93,D,AUBURN GRESHAM,71,48743,55928,-7185,-12.846875,0,1
B116,B,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
B117,B,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C233,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C234,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C255,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C258,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C259,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
C264,C,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D106,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D107,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D108,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D91,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D92,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
D95,D,WASHINGTON HEIGHTS,73,26493,29843,-3350,-11.225413,0,1
B118,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
B119,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
B120,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
B121,B,CHATHAM,44,31028,37275,-6247,-16.759222,0,1
